GID	Pathway	Pathway_Name	Pathway_Class
MD00G1000100	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD00G1000800	ko04390	Hippo signaling pathway	Environmental Information Processing
MD00G1000800	ko04391	Hippo signaling pathway - fly	Environmental Information Processing
MD00G1000800	ko04392	Hippo signaling pathway - multiple species	Environmental Information Processing
MD00G1000800	ko04111	Cell cycle - yeast	Cellular Processes
MD00G1001700	ko03030	DNA replication	Genetic Information Processing
MD00G1001700	ko03420	Nucleotide excision repair	Genetic Information Processing
MD00G1001700	ko03430	Mismatch repair	Genetic Information Processing
MD00G1001700	ko03440	Homologous recombination	Genetic Information Processing
MD00G1001700	ko03460	Fanconi anemia pathway	Genetic Information Processing
MD00G1001900	ko03040	Spliceosome	Genetic Information Processing
MD00G1002100	ko03320	PPAR signaling pathway	Organismal Systems
MD00G1002700	ko04010	MAPK signaling pathway	Environmental Information Processing
MD00G1002700	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD00G1002700	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD00G1002700	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD00G1002700	ko04621	NOD-like receptor signaling pathway	Organismal Systems
MD00G1002700	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1002700	ko05133	Pertussis	Human Diseases
MD00G1002700	ko05152	Tuberculosis	Human Diseases
MD00G1002700	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD00G1002700	ko05162	Measles	Human Diseases
MD00G1002700	ko05164	Influenza A	Human Diseases
MD00G1002700	ko05169	Epstein-Barr virus infection	Human Diseases
MD00G1002700	ko05145	Toxoplasmosis	Human Diseases
MD00G1002700	ko05140	Leishmaniasis	Human Diseases
MD00G1002700	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD00G1003600	ko00904	Diterpenoid biosynthesis	Metabolism
MD00G1003800	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1003800	ko00030	Pentose phosphate pathway	Metabolism
MD00G1003800	ko00052	Galactose metabolism	Metabolism
MD00G1003800	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1003800	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD00G1003800	ko00230	Purine metabolism	Metabolism
MD00G1003800	ko00521	Streptomycin biosynthesis	Metabolism
MD00G1004100	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1004100	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1004100	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD00G1004800	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD00G1005200	ko00260	Glycine, serine and threonine metabolism	Metabolism
MD00G1005600	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1005600	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1005700	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1005700	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1006100	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1006100	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1006200	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1006200	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1008300	ko04218	Cellular senescence	Cellular Processes
MD00G1008400	ko05110	Vibrio cholerae infection	Human Diseases
MD00G1008500	ko03060	Protein export	Genetic Information Processing
MD00G1008500	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD00G1008500	ko04145	Phagosome	Cellular Processes
MD00G1008500	ko05110	Vibrio cholerae infection	Human Diseases
MD00G1008700	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1009000	ko00650	Butanoate metabolism	Metabolism
MD00G1009000	ko00660	C5-Branched dibasic acid metabolism	Metabolism
MD00G1009000	ko00290	Valine, leucine and isoleucine biosynthesis	Metabolism
MD00G1009000	ko00770	Pantothenate and CoA biosynthesis	Metabolism
MD00G1009500	ko04144	Endocytosis	Cellular Processes
MD00G1009500	ko04972	Pancreatic secretion	Organismal Systems
MD00G1009500	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems
MD00G1009500	ko04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems
MD00G1010300	ko05010	Alzheimer disease	Human Diseases
MD00G1010400	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD00G1010600	ko04014	Ras signaling pathway	Environmental Information Processing
MD00G1010600	ko04015	Rap1 signaling pathway	Environmental Information Processing
MD00G1010600	ko04010	MAPK signaling pathway	Environmental Information Processing
MD00G1010600	ko04013	MAPK signaling pathway - fly	Environmental Information Processing
MD00G1010600	ko04012	ErbB signaling pathway	Environmental Information Processing
MD00G1010600	ko04370	VEGF signaling pathway	Environmental Information Processing
MD00G1010600	ko04371	Apelin signaling pathway	Environmental Information Processing
MD00G1010600	ko04668	TNF signaling pathway	Environmental Information Processing
MD00G1010600	ko04066	HIF-1 signaling pathway	Environmental Information Processing
MD00G1010600	ko04068	FoxO signaling pathway	Environmental Information Processing
MD00G1010600	ko04072	Phospholipase D signaling pathway	Environmental Information Processing
MD00G1010600	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD00G1010600	ko04024	cAMP signaling pathway	Environmental Information Processing
MD00G1010600	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD00G1010600	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD00G1010600	ko04150	mTOR signaling pathway	Environmental Information Processing
MD00G1010600	ko04140	Autophagy - animal	Cellular Processes
MD00G1010600	ko04114	Oocyte meiosis	Cellular Processes
MD00G1010600	ko04210	Apoptosis	Cellular Processes
MD00G1010600	ko04218	Cellular senescence	Cellular Processes
MD00G1010600	ko04510	Focal adhesion	Cellular Processes
MD00G1010600	ko04540	Gap junction	Cellular Processes
MD00G1010600	ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes
MD00G1010600	ko04810	Regulation of actin cytoskeleton	Cellular Processes
MD00G1010600	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD00G1010600	ko04650	Natural killer cell mediated cytotoxicity	Organismal Systems
MD00G1010600	ko04660	T cell receptor signaling pathway	Organismal Systems
MD00G1010600	ko04662	B cell receptor signaling pathway	Organismal Systems
MD00G1010600	ko04664	Fc epsilon RI signaling pathway	Organismal Systems
MD00G1010600	ko04666	Fc gamma R-mediated phagocytosis	Organismal Systems
MD00G1010600	ko04062	Chemokine signaling pathway	Organismal Systems
MD00G1010600	ko04910	Insulin signaling pathway	Organismal Systems
MD00G1010600	ko04912	GnRH signaling pathway	Organismal Systems
MD00G1010600	ko04915	Estrogen signaling pathway	Organismal Systems
MD00G1010600	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems
MD00G1010600	ko04917	Prolactin signaling pathway	Organismal Systems
MD00G1010600	ko04921	Oxytocin signaling pathway	Organismal Systems
MD00G1010600	ko04926	Relaxin signaling pathway	Organismal Systems
MD00G1010600	ko04919	Thyroid hormone signaling pathway	Organismal Systems
MD00G1010600	ko04928	Parathyroid hormone synthesis, secretion and action	Organismal Systems
MD00G1010600	ko04916	Melanogenesis	Organismal Systems
MD00G1010600	ko04270	Vascular smooth muscle contraction	Organismal Systems
MD00G1010600	ko04725	Cholinergic synapse	Organismal Systems
MD00G1010600	ko04726	Serotonergic synapse	Organismal Systems
MD00G1010600	ko04720	Long-term potentiation	Organismal Systems
MD00G1010600	ko04730	Long-term depression	Organismal Systems
MD00G1010600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1010600	ko04320	Dorso-ventral axis formation	Organismal Systems
MD00G1010600	ko04380	Osteoclast differentiation	Organismal Systems
MD00G1010600	ko04626	Plant-pathogen interaction	Organismal Systems
MD00G1010600	ko05200	Pathways in cancer	Human Diseases
MD00G1010600	ko05230	Central carbon metabolism in cancer	Human Diseases
MD00G1010600	ko05231	Choline metabolism in cancer	Human Diseases
MD00G1010600	ko05206	MicroRNAs in cancer	Human Diseases
MD00G1010600	ko05205	Proteoglycans in cancer	Human Diseases
MD00G1010600	ko05210	Colorectal cancer	Human Diseases
MD00G1010600	ko05212	Pancreatic cancer	Human Diseases
MD00G1010600	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1010600	ko05226	Gastric cancer	Human Diseases
MD00G1010600	ko05214	Glioma	Human Diseases
MD00G1010600	ko05216	Thyroid cancer	Human Diseases
MD00G1010600	ko05221	Acute myeloid leukemia	Human Diseases
MD00G1010600	ko05220	Chronic myeloid leukemia	Human Diseases
MD00G1010600	ko05218	Melanoma	Human Diseases
MD00G1010600	ko05211	Renal cell carcinoma	Human Diseases
MD00G1010600	ko05219	Bladder cancer	Human Diseases
MD00G1010600	ko05215	Prostate cancer	Human Diseases
MD00G1010600	ko05213	Endometrial cancer	Human Diseases
MD00G1010600	ko05224	Breast cancer	Human Diseases
MD00G1010600	ko05223	Non-small cell lung cancer	Human Diseases
MD00G1010600	ko05020	Prion diseases	Human Diseases
MD00G1010600	ko05034	Alcoholism	Human Diseases
MD00G1010600	ko04934	Cushing syndrome	Human Diseases
MD00G1010600	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD00G1010600	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD00G1010600	ko05164	Influenza A	Human Diseases
MD00G1010600	ko05161	Hepatitis B	Human Diseases
MD00G1010600	ko05163	Human cytomegalovirus infection	Human Diseases
MD00G1010600	ko05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases
MD00G1010600	ko05165	Human papillomavirus infection	Human Diseases
MD00G1010600	ko01521	EGFR tyrosine kinase inhibitor resistance	Human Diseases
MD00G1010600	ko01522	Endocrine resistance	Human Diseases
MD00G1012200	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1012200	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1012200	ko00562	Inositol phosphate metabolism	Metabolism
MD00G1012200	ko00710	Carbon fixation in photosynthetic organisms	Metabolism
MD00G1012800	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1012900	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1013000	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1013300	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1015600	ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism
MD00G1015600	ko00910	Nitrogen metabolism	Metabolism
MD00G1015600	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1015700	ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism
MD00G1015700	ko00910	Nitrogen metabolism	Metabolism
MD00G1015700	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1016500	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD00G1016700	ko04110	Cell cycle	Cellular Processes
MD00G1016700	ko04111	Cell cycle - yeast	Cellular Processes
MD00G1016800	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1016800	ko00460	Cyanoamino acid metabolism	Metabolism
MD00G1016800	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD00G1017300	ko00061	Fatty acid biosynthesis	Metabolism
MD00G1017300	ko01040	Biosynthesis of unsaturated fatty acids	Metabolism
MD00G1018600	ko04011	MAPK signaling pathway - yeast	Environmental Information Processing
MD00G1018600	ko04390	Hippo signaling pathway	Environmental Information Processing
MD00G1018600	ko04391	Hippo signaling pathway - fly	Environmental Information Processing
MD00G1018600	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD00G1018600	ko04110	Cell cycle	Cellular Processes
MD00G1018600	ko04114	Oocyte meiosis	Cellular Processes
MD00G1018600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1018600	ko05203	Viral carcinogenesis	Human Diseases
MD00G1018900	ko03010	Ribosome	Genetic Information Processing
MD00G1022500	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1022600	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1022700	ko00040	Pentose and glucuronate interconversions	Metabolism
MD00G1022900	ko03040	Spliceosome	Genetic Information Processing
MD00G1022900	ko03013	RNA transport	Genetic Information Processing
MD00G1022900	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD00G1022900	ko05164	Influenza A	Human Diseases
MD00G1024000	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD00G1024100	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD00G1025200	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1025600	ko03013	RNA transport	Genetic Information Processing
MD00G1025800	ko00062	Fatty acid elongation	Metabolism
MD00G1026700	ko00062	Fatty acid elongation	Metabolism
MD00G1027600	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing
MD00G1027600	ko04721	Synaptic vesicle cycle	Organismal Systems
MD00G1028400	ko03050	Proteasome	Genetic Information Processing
MD00G1028800	ko03030	DNA replication	Genetic Information Processing
MD00G1028800	ko03420	Nucleotide excision repair	Genetic Information Processing
MD00G1028800	ko03430	Mismatch repair	Genetic Information Processing
MD00G1029100	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1029100	ko00053	Ascorbate and aldarate metabolism	Metabolism
MD00G1029100	ko00620	Pyruvate metabolism	Metabolism
MD00G1029100	ko00071	Fatty acid degradation	Metabolism
MD00G1029100	ko00561	Glycerolipid metabolism	Metabolism
MD00G1029100	ko00280	Valine, leucine and isoleucine degradation	Metabolism
MD00G1029100	ko00310	Lysine degradation	Metabolism
MD00G1029100	ko00330	Arginine and proline metabolism	Metabolism
MD00G1029100	ko00340	Histidine metabolism	Metabolism
MD00G1029100	ko00380	Tryptophan metabolism	Metabolism
MD00G1029100	ko00410	beta-Alanine metabolism	Metabolism
MD00G1029100	ko00981	Insect hormone biosynthesis	Metabolism
MD00G1029100	ko00903	Limonene and pinene degradation	Metabolism
MD00G1029100	ko00625	Chloroalkane and chloroalkene degradation	Metabolism
MD00G1029200	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1029200	ko00053	Ascorbate and aldarate metabolism	Metabolism
MD00G1029200	ko00620	Pyruvate metabolism	Metabolism
MD00G1029200	ko00071	Fatty acid degradation	Metabolism
MD00G1029200	ko00561	Glycerolipid metabolism	Metabolism
MD00G1029200	ko00280	Valine, leucine and isoleucine degradation	Metabolism
MD00G1029200	ko00310	Lysine degradation	Metabolism
MD00G1029200	ko00330	Arginine and proline metabolism	Metabolism
MD00G1029200	ko00340	Histidine metabolism	Metabolism
MD00G1029200	ko00380	Tryptophan metabolism	Metabolism
MD00G1029200	ko00410	beta-Alanine metabolism	Metabolism
MD00G1029200	ko00981	Insect hormone biosynthesis	Metabolism
MD00G1029200	ko00903	Limonene and pinene degradation	Metabolism
MD00G1029200	ko00625	Chloroalkane and chloroalkene degradation	Metabolism
MD00G1029300	ko00053	Ascorbate and aldarate metabolism	Metabolism
MD00G1029300	ko00480	Glutathione metabolism	Metabolism
MD00G1029400	ko00053	Ascorbate and aldarate metabolism	Metabolism
MD00G1029400	ko00480	Glutathione metabolism	Metabolism
MD00G1030000	ko04714	Thermogenesis	Organismal Systems
MD00G1030000	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1030300	ko04142	Lysosome	Cellular Processes
MD00G1031100	ko04012	ErbB signaling pathway	Environmental Information Processing
MD00G1031100	ko04371	Apelin signaling pathway	Environmental Information Processing
MD00G1031100	ko04630	Jak-STAT signaling pathway	Environmental Information Processing
MD00G1031100	ko04066	HIF-1 signaling pathway	Environmental Information Processing
MD00G1031100	ko04072	Phospholipase D signaling pathway	Environmental Information Processing
MD00G1031100	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD00G1031100	ko04152	AMPK signaling pathway	Environmental Information Processing
MD00G1031100	ko04150	mTOR signaling pathway	Environmental Information Processing
MD00G1031100	ko04140	Autophagy - animal	Cellular Processes
MD00G1031100	ko04138	Autophagy - yeast	Cellular Processes
MD00G1031100	ko04136	Autophagy - other	Cellular Processes
MD00G1031100	ko04139	Mitophagy - yeast	Cellular Processes
MD00G1031100	ko04218	Cellular senescence	Cellular Processes
MD00G1031100	ko04659	Th17 cell differentiation	Organismal Systems
MD00G1031100	ko04910	Insulin signaling pathway	Organismal Systems
MD00G1031100	ko04920	Adipocytokine signaling pathway	Organismal Systems
MD00G1031100	ko04919	Thyroid hormone signaling pathway	Organismal Systems
MD00G1031100	ko04211	Longevity regulating pathway	Organismal Systems
MD00G1031100	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD00G1031100	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD00G1031100	ko04714	Thermogenesis	Organismal Systems
MD00G1031100	ko05200	Pathways in cancer	Human Diseases
MD00G1031100	ko05230	Central carbon metabolism in cancer	Human Diseases
MD00G1031100	ko05231	Choline metabolism in cancer	Human Diseases
MD00G1031100	ko05206	MicroRNAs in cancer	Human Diseases
MD00G1031100	ko05205	Proteoglycans in cancer	Human Diseases
MD00G1031100	ko05210	Colorectal cancer	Human Diseases
MD00G1031100	ko05212	Pancreatic cancer	Human Diseases
MD00G1031100	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1031100	ko05226	Gastric cancer	Human Diseases
MD00G1031100	ko05214	Glioma	Human Diseases
MD00G1031100	ko05221	Acute myeloid leukemia	Human Diseases
MD00G1031100	ko05215	Prostate cancer	Human Diseases
MD00G1031100	ko05224	Breast cancer	Human Diseases
MD00G1031100	ko04930	Type II diabetes mellitus	Human Diseases
MD00G1031100	ko04931	Insulin resistance	Human Diseases
MD00G1031100	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD00G1031100	ko05163	Human cytomegalovirus infection	Human Diseases
MD00G1031100	ko05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases
MD00G1031100	ko05165	Human papillomavirus infection	Human Diseases
MD00G1031100	ko01521	EGFR tyrosine kinase inhibitor resistance	Human Diseases
MD00G1031100	ko01522	Endocrine resistance	Human Diseases
MD00G1031200	ko00562	Inositol phosphate metabolism	Metabolism
MD00G1031200	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD00G1031300	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1031300	ko00620	Pyruvate metabolism	Metabolism
MD00G1031300	ko00230	Purine metabolism	Metabolism
MD00G1031300	ko04922	Glucagon signaling pathway	Organismal Systems
MD00G1031300	ko05230	Central carbon metabolism in cancer	Human Diseases
MD00G1031300	ko05203	Viral carcinogenesis	Human Diseases
MD00G1031300	ko04930	Type II diabetes mellitus	Human Diseases
MD00G1031300	ko05165	Human papillomavirus infection	Human Diseases
MD00G1032200	ko00902	Monoterpenoid biosynthesis	Metabolism
MD00G1032300	ko04144	Endocytosis	Cellular Processes
MD00G1032300	ko04217	Necroptosis	Cellular Processes
MD00G1032500	ko00511	Other glycan degradation	Metabolism
MD00G1032700	ko00620	Pyruvate metabolism	Metabolism
MD00G1033000	ko00360	Phenylalanine metabolism	Metabolism
MD00G1033000	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism
MD00G1033000	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD00G1033100	ko00360	Phenylalanine metabolism	Metabolism
MD00G1033100	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism
MD00G1033100	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD00G1033700	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD00G1033800	ko00510	N-Glycan biosynthesis	Metabolism
MD00G1033900	ko00510	N-Glycan biosynthesis	Metabolism
MD00G1034000	ko04371	Apelin signaling pathway	Environmental Information Processing
MD00G1034000	ko04068	FoxO signaling pathway	Environmental Information Processing
MD00G1034000	ko04140	Autophagy - animal	Cellular Processes
MD00G1034000	ko04138	Autophagy - yeast	Cellular Processes
MD00G1034000	ko04136	Autophagy - other	Cellular Processes
MD00G1034000	ko04137	Mitophagy - animal	Cellular Processes
MD00G1034000	ko04139	Mitophagy - yeast	Cellular Processes
MD00G1034000	ko04621	NOD-like receptor signaling pathway	Organismal Systems
MD00G1034000	ko04727	GABAergic synapse	Organismal Systems
MD00G1034000	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD00G1034000	ko05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases
MD00G1034800	ko03013	RNA transport	Genetic Information Processing
MD00G1035200	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1035200	ko04973	Carbohydrate digestion and absorption	Organismal Systems
MD00G1035300	ko00500	Starch and sucrose metabolism	Metabolism
MD00G1035300	ko04973	Carbohydrate digestion and absorption	Organismal Systems
MD00G1035400	ko00600	Sphingolipid metabolism	Metabolism
MD00G1035400	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
