GID	COG	COG_Name	COG_Class
1	MD00G1000100	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
2	MD00G1000200	S	( S ) Function unknown	POORLY CHARACTERIZED
3	MD00G1000400	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
4	MD00G1000500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
5	MD00G1000600	S	( S ) Function unknown	POORLY CHARACTERIZED
6	MD00G1000700	S	( S ) Function unknown	POORLY CHARACTERIZED
7	MD00G1000800	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
8	MD00G1001000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
9	MD00G1001400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10	MD00G1001500	S	( S ) Function unknown	POORLY CHARACTERIZED
11	MD00G1001700	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
12	MD00G1001900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
13	MD00G1002100	I	( I ) Lipid transport and metabolism	METABOLISM
14	MD00G1002500	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
15	MD00G1002600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
16	MD00G1002700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17	MD00G1003400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
18	MD00G1003500	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
19	MD00G1003600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
20	MD00G1003800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
21	MD00G1003900	S	( S ) Function unknown	POORLY CHARACTERIZED
22	MD00G1004000	S	( S ) Function unknown	POORLY CHARACTERIZED
23	MD00G1004100	G	( G ) Carbohydrate transport and metabolism	METABOLISM
24	MD00G1004400	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
25	MD00G1004500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
26	MD00G1004800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
27	MD00G1004900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
28	MD00G1005000	S	( S ) Function unknown	POORLY CHARACTERIZED
29	MD00G1005100	H	( H ) Coenzyme transport and metabolism	METABOLISM
30	MD00G1005200	E	( E ) Amino acid transport and metabolism	METABOLISM
31	MD00G1005300	S	( S ) Function unknown	POORLY CHARACTERIZED
32	MD00G1005500	S	( S ) Function unknown	POORLY CHARACTERIZED
33	MD00G1005600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
34	MD00G1005700	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
35	MD00G1005800	S	( S ) Function unknown	POORLY CHARACTERIZED
36	MD00G1006000	S	( S ) Function unknown	POORLY CHARACTERIZED
37	MD00G1006100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
38	MD00G1006200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
39	MD00G1006400	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
40	MD00G1006500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
41	MD00G1006600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
42	MD00G1006700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
43	MD00G1006800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
44	MD00G1006900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
45	MD00G1007000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
46	MD00G1007100	S	( S ) Function unknown	POORLY CHARACTERIZED
47	MD00G1007200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
48	MD00G1007300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
49	MD00G1007500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
50	MD00G1007600	S	( S ) Function unknown	POORLY CHARACTERIZED
51	MD00G1007700	S	( S ) Function unknown	POORLY CHARACTERIZED
52	MD00G1007800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
53	MD00G1007900	S	( S ) Function unknown	POORLY CHARACTERIZED
54	MD00G1008100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
55	MD00G1008200	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
56	MD00G1008400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
57	MD00G1008500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
58	MD00G1008600	S	( S ) Function unknown	POORLY CHARACTERIZED
59	MD00G1008700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
60	MD00G1008800	P	( P ) Inorganic ion transport and metabolism	METABOLISM
61	MD00G1009000	E	( E ) Amino acid transport and metabolism	METABOLISM
