GID	COG	COG_Name	COG_Class
MD00G1000100	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1000200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1000400	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1000500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1000600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1000700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1000800	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
MD00G1001000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1001400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1001500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1001700	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD00G1001900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1002100	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1002500	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1002600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1002700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1003400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1003500	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1003600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1003800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1003900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1004000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1004100	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1004400	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1004500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1004800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1004900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1005000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1005100	H	( H ) Coenzyme transport and metabolism	METABOLISM
MD00G1005200	E	( E ) Amino acid transport and metabolism	METABOLISM
MD00G1005300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1005500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1005600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
